events,live_keys,keys_per_worker,horizon
267500,256927,25.6927,H=32
270000,256503,25.6503,H=32
272500,256140,25.614,H=32
275000,255758,25.5758,H=32
277500,255455,25.5455,H=32
280000,255363,25.5363,H=32
282500,255389,25.5389,H=32
285000,255149,25.5149,H=32
287500,255023,25.5023,H=32
290000,254989,25.4989,H=32
292500,254799,25.4799,H=32
295000,254838,25.4838,H=32
297500,254884,25.4884,H=32
300000,254953,25.4953,H=32
302500,254961,25.4961,H=32
305000,254981,25.4981,H=32
307500,254998,25.4998,H=32
310000,255003,25.5003,H=32
312500,255095,25.5095,H=32
315000,255082,25.5082,H=32
317500,255072,25.5072,H=32
320000,255089,25.5089,H=32
322500,255026,25.5026,H=32
325000,255011,25.5011,H=32
327500,254998,25.4998,H=32
330000,255174,25.5174,H=32
332500,255160,25.516,H=32
335000,255164,25.5164,H=32
337500,255198,25.5198,H=32
340000,255207,25.5207,H=32
342500,255273,25.5273,H=32
345000,255217,25.5217,H=32
347500,255195,25.5195,H=32
350000,255220,25.522,H=32
2500,9916,0.9916,H=64
5000,19685,1.9685,H=64
7500,29268,2.9268,H=64
10000,38684,3.8684,H=64
12500,47999,4.7999,H=64
15000,57225,5.7225,H=64
17500,66200,6.62,H=64
20000,75103,7.5103,H=64
22500,83888,8.3888,H=64
25000,92506,9.2506,H=64
27500,100992,10.0992,H=64
30000,109340,10.934,H=64
32500,117556,11.7556,H=64
35000,125688,12.5688,H=64
37500,133697,13.3697,H=64
40000,141525,14.1525,H=64
42500,149337,14.9337,H=64
45000,156990,15.699,H=64
47500,164467,16.4467,H=64
50000,171949,17.1949,H=64
52500,179205,17.9205,H=64
55000,186412,18.6412,H=64
57500,193545,19.3545,H=64
60000,200551,20.0551,H=64
62500,207507,20.7507,H=64
65000,214321,21.4321,H=64
67500,221090,22.109,H=64
70000,227694,22.7694,H=64
72500,234241,23.4241,H=64
75000,240681,24.0681,H=64
77500,247112,24.7112,H=64
80000,253437,25.3437,H=64
82500,259721,25.9721,H=64
85000,265852,26.5852,H=64
87500,271969,27.1969,H=64
90000,277973,27.7973,H=64
92500,283973,28.3973,H=64
95000,289863,28.9863,H=64
97500,295658,29.5658,H=64
100000,301459,30.1459,H=64
102500,307193,30.7193,H=64
105000,312763,31.2763,H=64
107500,318328,31.8328,H=64
110000,323886,32.3886,H=64
112500,329308,32.9308,H=64
115000,334633,33.4633,H=64
117500,339977,33.9977,H=64
120000,345202,34.5202,H=64
122500,350257,35.0257,H=64
125000,355319,35.5319,H=64
127500,360165,36.0165,H=64
130000,364910,36.491,H=64
132500,369654,36.9654,H=64
135000,374234,37.4234,H=64
137500,378565,37.8565,H=64
140000,382845,38.2845,H=64
142500,386825,38.6825,H=64
145000,390721,39.0721,H=64
147500,394416,39.4416,H=64
150000,397941,39.7941,H=64
152500,401172,40.1172,H=64
155000,404125,40.4125,H=64
157500,406883,40.6883,H=64
160000,409261,40.9261,H=64
162500,411450,41.145,H=64
165000,413297,41.3297,H=64
167500,415159,41.5159,H=64
170000,416610,41.661,H=64
172500,417908,41.7908,H=64
175000,419158,41.9158,H=64
177500,425447,42.5447,H=64
180000,431446,43.1446,H=64
182500,437044,43.7044,H=64
185000,442440,44.244,H=64
187500,447458,44.7458,H=64
190000,452243,45.2243,H=64
192500,456826,45.6826,H=64
195000,461175,46.1175,H=64
197500,465206,46.5206,H=64
200000,469120,46.912,H=64
202500,472841,47.2841,H=64
205000,476305,47.6305,H=64
207500,479547,47.9547,H=64
210000,482687,48.2687,H=64
212500,485555,48.5555,H=64
215000,488225,48.8225,H=64
217500,490640,49.064,H=64
220000,492969,49.2969,H=64
222500,495187,49.5187,H=64
225000,497133,49.7133,H=64
227500,498871,49.8871,H=64
230000,500389,50.0389,H=64
232500,501816,50.1816,H=64
235000,503113,50.3113,H=64
237500,504237,50.4237,H=64
240000,505113,50.5113,H=64
242500,505902,50.5902,H=64
245000,506594,50.6594,H=64
247500,507044,50.7044,H=64
250000,507386,50.7386,H=64
252500,507481,50.7481,H=64
255000,507432,50.7432,H=64
257500,507222,50.7222,H=64
260000,506909,50.6909,H=64
262500,506420,50.642,H=64
265000,505886,50.5886,H=64
267500,505019,50.5019,H=64
270000,504025,50.4025,H=64
272500,502918,50.2918,H=64
275000,501580,50.158,H=64
277500,500139,50.0139,H=64
280000,498594,49.8594,H=64
282500,496824,49.6824,H=64
285000,494775,49.4775,H=64
287500,492558,49.2558,H=64
290000,490301,49.0301,H=64
292500,487942,48.7942,H=64
295000,485382,48.5382,H=64
297500,482592,48.2592,H=64
300000,479917,47.9917,H=64
302500,476879,47.6879,H=64
305000,473736,47.3736,H=64
307500,470636,47.0636,H=64
310000,467504,46.7504,H=64
312500,464272,46.4272,H=64
315000,461010,46.101,H=64
317500,457919,45.7919,H=64
320000,454977,45.4977,H=64
322500,451894,45.1894,H=64
325000,449064,44.9064,H=64
327500,446390,44.639,H=64
330000,443769,44.3769,H=64
332500,441321,44.1321,H=64
335000,439183,43.9183,H=64
337500,437259,43.7259,H=64
340000,435264,43.5264,H=64
342500,433604,43.3604,H=64
345000,432172,43.2172,H=64
347500,430929,43.0929,H=64
350000,429780,42.978,H=64
2500,9912,0.9912,no eviction
5000,19678,1.9678,no eviction
7500,29268,2.9268,no eviction
10000,38725,3.8725,no eviction
12500,48038,4.8038,no eviction
15000,57185,5.7185,no eviction
17500,66203,6.6203,no eviction
20000,75108,7.5108,no eviction
22500,83801,8.3801,no eviction
25000,92443,9.2443,no eviction
27500,100886,10.0886,no eviction
30000,109257,10.9257,no eviction
32500,117492,11.7492,no eviction
35000,125608,12.5608,no eviction
37500,133576,13.3576,no eviction
40000,141489,14.1489,no eviction
42500,149236,14.9236,no eviction
45000,156883,15.6883,no eviction
47500,164399,16.4399,no eviction
50000,171789,17.1789,no eviction
52500,179094,17.9094,no eviction
55000,186347,18.6347,no eviction
57500,193506,19.3506,no eviction
60000,200502,20.0502,no eviction
62500,207388,20.7388,no eviction
65000,214285,21.4285,no eviction
67500,221094,22.1094,no eviction
70000,227717,22.7717,no eviction
72500,234283,23.4283,no eviction
75000,240804,24.0804,no eviction
77500,247187,24.7187,no eviction
80000,253546,25.3546,no eviction
82500,259808,25.9808,no eviction
85000,265954,26.5954,no eviction
87500,272062,27.2062,no eviction
90000,278046,27.8046,no eviction
92500,284056,28.4056,no eviction
95000,289939,28.9939,no eviction
97500,295757,29.5757,no eviction
100000,301540,30.154,no eviction
102500,307164,30.7164,no eviction
105000,312715,31.2715,no eviction
107500,318208,31.8208,no eviction
110000,323638,32.3638,no eviction
112500,329113,32.9113,no eviction
115000,334519,33.4519,no eviction
117500,339801,33.9801,no eviction
120000,345102,34.5102,no eviction
122500,350268,35.0268,no eviction
125000,355426,35.5426,no eviction
127500,360517,36.0517,no eviction
130000,365593,36.5593,no eviction
132500,370630,37.063,no eviction
135000,375569,37.5569,no eviction
137500,380462,38.0462,no eviction
140000,385246,38.5246,no eviction
142500,390035,39.0035,no eviction
145000,394766,39.4766,no eviction
147500,399568,39.9568,no eviction
150000,404281,40.4281,no eviction
152500,408880,40.888,no eviction
155000,413472,41.3472,no eviction
157500,418072,41.8072,no eviction
160000,422696,42.2696,no eviction
162500,427055,42.7055,no eviction
165000,431408,43.1408,no eviction
167500,435762,43.5762,no eviction
170000,440083,44.0083,no eviction
172500,444429,44.4429,no eviction
175000,448741,44.8741,no eviction
177500,458676,45.8676,no eviction
180000,468460,46.846,no eviction
182500,478065,47.8065,no eviction
185000,487508,48.7508,no eviction
187500,496777,49.6777,no eviction
190000,505938,50.5938,no eviction
192500,514970,51.497,no eviction
195000,523813,52.3813,no eviction
197500,532542,53.2542,no eviction
200000,541169,54.1169,no eviction
202500,549649,54.9649,no eviction
205000,558009,55.8009,no eviction
207500,566265,56.6265,no eviction
210000,574317,57.4317,no eviction
212500,582281,58.2281,no eviction
215000,590182,59.0182,no eviction
217500,597920,59.792,no eviction
220000,605547,60.5547,no eviction
222500,613043,61.3043,no eviction
225000,620460,62.046,no eviction
227500,627823,62.7823,no eviction
230000,635005,63.5005,no eviction
232500,642118,64.2118,no eviction
235000,649221,64.9221,no eviction
237500,656160,65.616,no eviction
240000,663029,66.3029,no eviction
242500,669800,66.98,no eviction
245000,676481,67.6481,no eviction
247500,683043,68.3043,no eviction
250000,689586,68.9586,no eviction
252500,696021,69.6021,no eviction
255000,702356,70.2356,no eviction
257500,708628,70.8628,no eviction
260000,714771,71.4771,no eviction
262500,720862,72.0862,no eviction
265000,726908,72.6908,no eviction
267500,732890,73.289,no eviction
270000,738757,73.8757,no eviction
272500,744590,74.459,no eviction
275000,750219,75.0219,no eviction
277500,755923,75.5923,no eviction
280000,761580,76.158,no eviction
282500,767124,76.7124,no eviction
285000,772661,77.2661,no eviction
287500,778101,77.8101,no eviction
290000,783475,78.3475,no eviction
292500,788781,78.8781,no eviction
295000,794021,79.4021,no eviction
297500,799343,79.9343,no eviction
300000,804608,80.4608,no eviction
302500,809685,80.9685,no eviction
305000,814830,81.483,no eviction
307500,819826,81.9826,no eviction
310000,824797,82.4797,no eviction
312500,829719,82.9719,no eviction
315000,834515,83.4515,no eviction
317500,839338,83.9338,no eviction
320000,844090,84.409,no eviction
322500,848798,84.8798,no eviction
325000,853477,85.3477,no eviction
327500,858117,85.8117,no eviction
330000,862725,86.2725,no eviction
332500,867264,86.7264,no eviction
335000,871895,87.1895,no eviction
337500,876438,87.6438,no eviction
340000,880913,88.0913,no eviction
342500,885301,88.5301,no eviction
345000,889733,88.9733,no eviction
347500,894108,89.4108,no eviction
350000,898465,89.8465,no eviction
